flow_id,src_ip,dst_ip,device_type,label,s1_confidence,s2_confidence,suspicion_score,latency_ms,alerted,timestamp
192.168.100.151:49270<->54.187.159.182:443/6,192.168.100.151,54.187.159.182,iot,benign,0.55,0.0001,2.0,59.83,False,1777718858.387303
192.168.100.151:49270<->54.187.159.182:443/6,192.168.100.151,54.187.159.182,iot,benign,0.55,0.0001,4.0,16.06,False,1777718858.387643
192.168.100.151:49270<->54.187.159.182:443/6,192.168.100.151,54.187.159.182,noniot,benign,0.64,0.0,4.0,13.95,False,1777718858.388256
192.168.100.151:49270<->54.187.159.182:443/6,192.168.100.151,54.187.159.182,noniot,benign,0.65,0.0,4.0,14.12,False,1777718858.592436
192.168.100.151:49279<->54.186.23.98:443/6,192.168.100.151,54.186.23.98,noniot,benign,0.64,0.0,4.0,19.03,False,1777718859.410816
192.168.100.151:49279<->54.186.23.98:443/6,192.168.100.151,54.186.23.98,noniot,benign,0.58,0.0,2.0,14.96,False,1777718859.411972
192.168.100.151:49476<->20.189.173.16:443/6,192.168.100.151,20.189.173.16,noniot,benign,0.73,0.0,0.0,16.46,False,1777718883.719598
192.168.100.151:49476<->20.189.173.16:443/6,192.168.100.151,20.189.173.16,noniot,benign,0.54,0.0,2.0,16.31,False,1777718883.720061
140.82.113.25:443<->192.168.100.151:49267/6,140.82.113.25,192.168.100.151,noniot,benign,0.63,0.0,0.0,19.75,False,1777718888.894036
192.168.100.151:55108<->34.0.88.7:50005/17,192.168.100.151,34.0.88.7,noniot,benign,0.7,0.0002,0.0,16.62,False,1777718893.906555
104.29.148.119:19326<->192.168.100.151:58166/17,104.29.148.119,192.168.100.151,noniot,benign,0.71,0.0,0.0,15.47,False,1777718893.906555
192.168.100.151:9026<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.58,0.0,0.0,14.86,False,1777718893.906555
192.168.100.151:21093<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.56,0.0,0.0,14.91,False,1777718893.906555
192.168.100.151:8941<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.58,0.0001,0.0,14.76,False,1777718893.906555
192.168.100.151:49279<->54.186.23.98:443/6,192.168.100.151,54.186.23.98,noniot,benign,0.63,0.0004,0.0,14.06,False,1777718893.906555
18.97.36.66:443<->192.168.100.151:64903/6,18.97.36.66,192.168.100.151,noniot,benign,0.58,0.0,0.0,13.22,False,1777718893.906555
140.82.113.25:443<->192.168.100.151:49205/6,140.82.113.25,192.168.100.151,noniot,benign,0.64,0.0,0.0,22.0,False,1777718898.9103942
18.97.36.75:443<->192.168.100.151:65296/6,18.97.36.75,192.168.100.151,noniot,benign,0.6,0.0,0.0,22.81,False,1777718903.912063
142.251.36.46:443<->192.168.100.151:51251/17,142.251.36.46,192.168.100.151,noniot,benign,0.51,0.0,0.0,18.87,False,1777718908.914179
142.251.36.46:0<->192.168.100.151:0/1,142.251.36.46,192.168.100.151,noniot,benign,0.62,0.0,0.0,17.36,False,1777718908.914179
192.168.100.151:45889<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.51,0.001,0.0,21.42,False,1777718913.9185002
192.168.100.151:30896<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.53,0.0001,0.0,16.54,False,1777718913.9185002
192.168.100.151:64762<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.52,0.001,0.0,15.0,False,1777718913.9185002
192.168.100.151:49040<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.57,0.0002,0.0,13.62,False,1777718913.9185002
192.168.100.151:34997<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.59,0.0,0.0,12.83,False,1777718913.9185002
192.168.100.151:64974<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.55,0.0,0.0,14.96,False,1777718913.9185002
192.168.100.151:64138<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.55,0.0,0.0,14.89,False,1777718913.9185002
192.168.100.151:64216<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.58,0.0,0.0,14.6,False,1777718913.9185002
192.168.100.151:56923<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.54,0.0,0.0,14.78,False,1777718913.9185002
192.168.100.151:39434<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.57,0.001,0.0,14.7,False,1777718913.9185002
192.168.100.151:28650<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.55,0.001,0.0,14.59,False,1777718913.9185002
192.168.100.151:53090<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.56,0.001,0.0,14.49,False,1777718913.9185002
192.168.100.151:17628<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.53,0.0,0.0,14.52,False,1777718913.9185002
192.168.100.151:23809<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.54,0.0,0.0,14.56,False,1777718913.9185002
192.168.100.151:52980<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.52,0.001,0.0,14.43,False,1777718913.9185002
162.159.137.232:443<->192.168.100.151:51947/17,162.159.137.232,192.168.100.151,noniot,benign,0.66,0.0,0.0,14.53,False,1777718913.9185002
140.82.114.21:443<->192.168.100.151:49477/6,140.82.114.21,192.168.100.151,noniot,benign,0.53,0.0,0.0,14.44,False,1777718913.9185002
192.168.100.151:49476<->20.189.173.16:443/6,192.168.100.151,20.189.173.16,noniot,benign,0.56,0.0,0.0,19.58,False,1777718918.931801
192.168.100.150:5353<->192.168.100.151:5353/17,192.168.100.150,192.168.100.151,noniot,benign,0.73,0.0,0.0,17.25,False,1777718918.931801
192.168.100.151:50943<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.51,0.0,0.0,16.65,False,1777718918.931801
192.168.100.151:51604<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,noniot,benign,0.51,0.0,0.0,15.47,False,1777718918.931801
192.168.100.150:5353<->224.0.0.251:5353/17,192.168.100.150,224.0.0.251,noniot,benign,0.53,0.0,0.0,21.07,False,1777718923.933978
162.159.134.234:443<->192.168.100.151:64133/6,162.159.134.234,192.168.100.151,noniot,benign,0.64,0.0,0.0,19.77,False,1777718928.936451
192.168.100.151:52760<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.59,0.0093,0.0,18.27,False,1777718928.936451
192.168.100.151:62283<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.56,0.0093,0.0,17.19,False,1777718928.936451
192.168.100.151:58380<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.59,0.0093,0.0,14.03,False,1777718928.936451
192.168.100.151:64487<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.58,0.0093,0.0,15.04,False,1777718928.936451
172.66.0.227:443<->192.168.100.151:49196/6,172.66.0.227,192.168.100.151,noniot,benign,0.63,0.0,0.0,19.33,False,1777718933.9502652
192.168.100.151:42483<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.58,0.0001,0.0,17.26,False,1777718933.9502652
192.168.100.151:10898<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.57,0.0001,0.0,15.93,False,1777718933.9502652
192.168.100.151:64847<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.57,0.0001,0.0,15.31,False,1777718933.9502652
192.168.100.151:49483<->54.187.119.242:443/6,192.168.100.151,54.187.119.242,noniot,benign,0.76,0.0,0.0,15.18,False,1777718933.9502652
192.168.100.151:61625<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.59,0.0001,0.0,14.64,False,1777718933.9502652
192.168.100.151:42342<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.6,0.0001,0.0,14.76,False,1777718933.9502652
192.168.100.151:20122<->84.235.57.230:53/17,192.168.100.151,84.235.57.230,iot,benign,0.59,0.0001,0.0,14.88,False,1777718933.9502652
